firm,level,amount,medianPercent,diffMedian
AT7,225e3,0.19,0.27,-0.08000000000000002
AB3,225e3,0.2,0.27,-0.07
PT13,225e3,0.37,0.27,0.09999999999999998
AB7,225e3,0.26,0.27,-0.010000000000000009
TL5,225e3,0.25,0.27,-0.020000000000000018
AT6,225e3,0.27,0.27,0
PR3,225e3,0,0.27,-0.27
PR2,225e3,0.25,0.27,-0.020000000000000018
AT3,225e3,0.29,0.27,0.019999999999999962
TL14,225e3,0.31,0.27,0.03999999999999998
PR1,225e3,0.25,0.27,-0.020000000000000018
PB1,225e3,0.13,0.27,-0.14
PB6,225e3,0.33,0.27,0.06
AL3,225e3,0.25,0.27,-0.020000000000000018
AT2,225e3,0.28,0.27,0.010000000000000009
AR3,225e3,0.33,0.27,0.06
PB3,225e3,0.23,0.27,-0.04000000000000001
PR4,225e3,0.38,0.27,0.10999999999999999
AB2,225e3,0.34,0.27,0.07
AT1,225e3,0.13,0.27,-0.14
TB5,225e3,0.25,0.27,-0.020000000000000018
AT5,225e3,0,0.27,-0.27
TB7,225e3,0.4,0.27,0.13
PB9,225e3,0.4,0.27,0.13
W,225e3,0.28,0.27,0.010000000000000009
GR1,24e4,0.22,0.28,-0.060000000000000026
PT10,24e4,0.39,0.28,0.10999999999999999
TL13,24e4,0.32,0.28,0.03999999999999998
PT5,24e4,0.36,0.28,0.07999999999999996
PB7,24e4,0.15,0.28,-0.13000000000000003
PT11,24e4,0.37,0.28,0.08999999999999997
AR2,24e4,0.2,0.28,-0.08000000000000002
TR7,24e4,0.3,0.28,0.019999999999999962
TR2,24e4,0.25,0.28,-0.030000000000000027
AR6,24e4,0.4,0.28,0.12
TR8,24e4,0.19,0.28,-0.09000000000000002
AB5,24e4,0.38,0.28,0.09999999999999998
PB14,24e4,0.3,0.28,0.019999999999999962
AR7,24e4,0.35,0.28,0.06999999999999995
TB6,24e4,0.28,0.28,0
TL9,24e4,0.25,0.28,-0.030000000000000027
PB8,24e4,0.3,0.28,0.019999999999999962
PT3,24e4,0.09,0.28,-0.19000000000000003
TT7,24e4,0.31,0.28,0.02999999999999997
GB1,24e4,0.15,0.28,-0.13000000000000003
GT1,24e4,0.25,0.28,-0.030000000000000027
GL1,24e4,0.25,0.28,-0.030000000000000027
TL7,24e4,0.36,0.28,0.07999999999999996
AB6,24e4,0.35,0.28,0.06999999999999995
AB4,24e4,0.35,0.28,0.06999999999999995
PT12,24e4,0.29,0.28,0.009999999999999953
AT7,24e4,0.19,0.28,-0.09000000000000002
AB3,24e4,0.2,0.28,-0.08000000000000002
PT13,24e4,0.37,0.28,0.08999999999999997
AB7,24e4,0.26,0.28,-0.020000000000000018
TL5,24e4,0.25,0.28,-0.030000000000000027
AT6,24e4,0.27,0.28,-0.010000000000000009
PR3,24e4,0,0.28,-0.28
PR2,24e4,0.25,0.28,-0.030000000000000027
AT3,24e4,0.29,0.28,0.009999999999999953
TL14,24e4,0.34,0.28,0.06
PR1,24e4,0.32,0.28,0.03999999999999998
PB1,24e4,0.13,0.28,-0.15000000000000002
PB6,24e4,0.33,0.28,0.04999999999999999
AL3,24e4,0.25,0.28,-0.030000000000000027
AT2,24e4,0.28,0.28,0
AR3,24e4,0.36,0.28,0.07999999999999996
PB3,24e4,0.23,0.28,-0.05000000000000002
PR4,24e4,0.38,0.28,0.09999999999999998
AB2,24e4,0.34,0.28,0.06
AT1,24e4,0.17,0.28,-0.11000000000000001
TB5,24e4,0.25,0.28,-0.030000000000000027
AT5,24e4,0,0.28,-0.28
TB7,24e4,0.4,0.28,0.12
PB9,24e4,0.4,0.28,0.12
W,24e4,0.32,0.28,0.03999999999999998
GR1,25e4,0.22,0.3,-0.07999999999999999
PT10,25e4,0.39,0.3,0.09000000000000002
TL13,25e4,0.32,0.3,0.020000000000000018
PT5,25e4,0.39,0.3,0.09000000000000002
PB7,25e4,0.15,0.3,-0.15
PT11,25e4,0.37,0.3,0.07
AR2,25e4,0.25,0.3,-0.04999999999999999
TR7,25e4,0.34,0.3,0.040000000000000036
TR2,25e4,0.25,0.3,-0.04999999999999999
AR6,25e4,0.4,0.3,0.10000000000000003
TR8,25e4,0.2,0.3,-0.09999999999999998
AB5,25e4,0.38,0.3,0.08000000000000002
PB14,25e4,0.3,0.3,0
AR7,25e4,0.35,0.3,0.04999999999999999
TB6,25e4,0.28,0.3,-0.019999999999999962
TL9,25e4,0.25,0.3,-0.04999999999999999
PB8,25e4,0.3,0.3,0
PT3,25e4,0.18,0.3,-0.12
TT7,25e4,0.33,0.3,0.030000000000000027
GB1,25e4,0.18,0.3,-0.12
GT1,25e4,0.25,0.3,-0.04999999999999999
GL1,25e4,0.25,0.3,-0.04999999999999999
TL7,25e4,0.36,0.3,0.06
AB6,25e4,0.35,0.3,0.04999999999999999
AB4,25e4,0.35,0.3,0.04999999999999999
PT12,25e4,0.32,0.3,0.020000000000000018
AT7,25e4,0.19,0.3,-0.10999999999999999
AB3,25e4,0.2,0.3,-0.09999999999999998
PT13,25e4,0.37,0.3,0.07
AB7,25e4,0.26,0.3,-0.03999999999999998
TL5,25e4,0.3,0.3,0
AT6,25e4,0.32,0.3,0.020000000000000018
PR3,25e4,0,0.3,-0.3
PR2,25e4,0.25,0.3,-0.04999999999999999
AT3,25e4,0.32,0.3,0.020000000000000018
TL14,25e4,0.34,0.3,0.040000000000000036
PR1,25e4,0.32,0.3,0.020000000000000018
PB1,25e4,0.14,0.3,-0.15999999999999998
PB6,25e4,0.35,0.3,0.04999999999999999
AL3,25e4,0.25,0.3,-0.04999999999999999
AT2,25e4,0.31,0.3,0.010000000000000009
AR3,25e4,0.36,0.3,0.06
PB3,25e4,0.26,0.3,-0.03999999999999998
PR4,25e4,0.38,0.3,0.08000000000000002
AB2,25e4,0.34,0.3,0.040000000000000036
AT1,25e4,0.17,0.3,-0.12999999999999998
TB5,25e4,0.25,0.3,-0.04999999999999999
AT5,25e4,0,0.3,-0.3
TB7,25e4,0.4,0.3,0.10000000000000003
PB9,25e4,0.4,0.3,0.10000000000000003
W,25e4,0.32,0.3,0.020000000000000018
GR1,275e3,0.22,0.3,-0.07999999999999999
PT10,275e3,0.39,0.3,0.09000000000000002
TL13,275e3,0.32,0.3,0.020000000000000018
PT5,275e3,0.39,0.3,0.09000000000000002
PB7,275e3,0.15,0.3,-0.15
PT11,275e3,0.37,0.3,0.07
AR2,275e3,0.25,0.3,-0.04999999999999999
TR7,275e3,0.34,0.3,0.040000000000000036
TR2,275e3,0.25,0.3,-0.04999999999999999
AR6,275e3,0.4,0.3,0.10000000000000003
TR8,275e3,0.2,0.3,-0.09999999999999998
AB5,275e3,0.4,0.3,0.10000000000000003
PB14,275e3,0.3,0.3,0
AR7,275e3,0.35,0.3,0.04999999999999999
TB6,275e3,0.28,0.3,-0.019999999999999962
TL9,275e3,0.25,0.3,-0.04999999999999999
PB8,275e3,0.3,0.3,0
PT3,275e3,0.18,0.3,-0.12
TT7,275e3,0.33,0.3,0.030000000000000027
GB1,275e3,0.18,0.3,-0.12
GT1,275e3,0.29,0.3,-0.010000000000000009
GL1,275e3,0.25,0.3,-0.04999999999999999
TL7,275e3,0.36,0.3,0.06
AB6,275e3,0.35,0.3,0.04999999999999999
AB4,275e3,0.35,0.3,0.04999999999999999
PT12,275e3,0.32,0.3,0.020000000000000018
AT7,275e3,0.19,0.3,-0.10999999999999999
AB3,275e3,0.2,0.3,-0.09999999999999998
PT13,275e3,0.37,0.3,0.07
AB7,275e3,0.26,0.3,-0.03999999999999998
TL5,275e3,0.3,0.3,0
AT6,275e3,0.32,0.3,0.020000000000000018
PR3,275e3,0,0.3,-0.3
PR2,275e3,0.3,0.3,0
AT3,275e3,0.32,0.3,0.020000000000000018
TL14,275e3,0.34,0.3,0.040000000000000036
PR1,275e3,0.33,0.3,0.030000000000000027
PB1,275e3,0.14,0.3,-0.15999999999999998
PB6,275e3,0.35,0.3,0.04999999999999999
AL3,275e3,0.3,0.3,0
AT2,275e3,0.31,0.3,0.010000000000000009
AR3,275e3,0.36,0.3,0.06
PB3,275e3,0.26,0.3,-0.03999999999999998
PR4,275e3,0.38,0.3,0.08000000000000002
AB2,275e3,0.34,0.3,0.040000000000000036
AT1,275e3,0.19,0.3,-0.10999999999999999
TB5,275e3,0.25,0.3,-0.04999999999999999
AT5,275e3,0,0.3,-0.3
TB7,275e3,0.4,0.3,0.10000000000000003
PB9,275e3,0.4,0.3,0.10000000000000003
W,275e3,0.32,0.3,0.020000000000000018
GR1,3e5,0.29,0.32,-0.030000000000000027
PT10,3e5,0.39,0.32,0.07
TL13,3e5,0.34,0.32,0.020000000000000018
PT5,3e5,0.39,0.32,0.07
PB7,3e5,0.2,0.32,-0.12
PT11,3e5,0.37,0.32,0.04999999999999999
AR2,3e5,0.28,0.32,-0.03999999999999998
TR7,3e5,0.34,0.32,0.020000000000000018
TR2,3e5,0.25,0.32,-0.07
AR6,3e5,0.4,0.32,0.08000000000000002
TR8,3e5,0.22,0.32,-0.1
AB5,3e5,0.42,0.32,0.09999999999999998
PB14,3e5,0.3,0.32,-0.020000000000000018
AR7,3e5,0.35,0.32,0.02999999999999997
TB6,3e5,0.31,0.32,-0.010000000000000009
TL9,3e5,0.28,0.32,-0.03999999999999998
PB8,3e5,0.31,0.32,-0.010000000000000009
PT3,3e5,0.24,0.32,-0.08000000000000002
TT7,3e5,0.35,0.32,0.02999999999999997
GB1,3e5,0.22,0.32,-0.1
GT1,3e5,0.29,0.32,-0.030000000000000027
GL1,3e5,0.32,0.32,0
TL7,3e5,0.36,0.32,0.03999999999999998
AB6,3e5,0.35,0.32,0.02999999999999997
AB4,3e5,0.35,0.32,0.02999999999999997
PT12,3e5,0.32,0.32,0
AT7,3e5,0.19,0.32,-0.13
AB3,3e5,0.3,0.32,-0.020000000000000018
PT13,3e5,0.39,0.32,0.07
AB7,3e5,0.3,0.32,-0.020000000000000018
TL5,3e5,0.35,0.32,0.02999999999999997
AT6,3e5,0.33,0.32,0.010000000000000009
PR3,3e5,0.32,0.32,0
PR2,3e5,0.3,0.32,-0.020000000000000018
AT3,3e5,0.36,0.32,0.03999999999999998
TL14,3e5,0.34,0.32,0.020000000000000018
PR1,3e5,0.34,0.32,0.020000000000000018
PB1,3e5,0.18,0.32,-0.14
PB6,3e5,0.36,0.32,0.03999999999999998
AL3,3e5,0.3,0.32,-0.020000000000000018
AT2,3e5,0.34,0.32,0.020000000000000018
AR3,3e5,0.36,0.32,0.03999999999999998
PB3,3e5,0.29,0.32,-0.030000000000000027
PR4,3e5,0.38,0.32,0.06
AB2,3e5,0.38,0.32,0.06
AT1,3e5,0.22,0.32,-0.1
TB5,3e5,0.25,0.32,-0.07
AT5,3e5,0,0.32,-0.32
TB7,3e5,0.4,0.32,0.08000000000000002
PB9,3e5,0.4,0.32,0.08000000000000002
W,3e5,0.34,0.32,0.020000000000000018
GR1,325e3,0.29,0.33,-0.040000000000000036
PT10,325e3,0.39,0.33,0.06
TL13,325e3,0.34,0.33,0.010000000000000009
PT5,325e3,0.39,0.33,0.06
PB7,325e3,0.2,0.33,-0.13
PT11,325e3,0.37,0.33,0.03999999999999998
AR2,325e3,0.28,0.33,-0.04999999999999999
TR7,325e3,0.34,0.33,0.010000000000000009
TR2,325e3,0.25,0.33,-0.08000000000000002
AR6,325e3,0.4,0.33,0.07
TR8,325e3,0.22,0.33,-0.11000000000000001
AB5,325e3,0.42,0.33,0.08999999999999997
PB14,325e3,0.3,0.33,-0.030000000000000027
AR7,325e3,0.35,0.33,0.019999999999999962
TB6,325e3,0.31,0.33,-0.020000000000000018
TL9,325e3,0.28,0.33,-0.04999999999999999
PB8,325e3,0.31,0.33,-0.020000000000000018
PT3,325e3,0.24,0.33,-0.09000000000000002
TT7,325e3,0.35,0.33,0.019999999999999962
GB1,325e3,0.22,0.33,-0.11000000000000001
GT1,325e3,0.33,0.33,0
GL1,325e3,0.32,0.33,-0.010000000000000009
TL7,325e3,0.36,0.33,0.02999999999999997
AB6,325e3,0.35,0.33,0.019999999999999962
AB4,325e3,0.35,0.33,0.019999999999999962
PT12,325e3,0.32,0.33,-0.010000000000000009
AT7,325e3,0.19,0.33,-0.14
AB3,325e3,0.3,0.33,-0.030000000000000027
PT13,325e3,0.39,0.33,0.06
AB7,325e3,0.3,0.33,-0.030000000000000027
TL5,325e3,0.35,0.33,0.019999999999999962
AT6,325e3,0.33,0.33,0
PR3,325e3,0.32,0.33,-0.010000000000000009
PR2,325e3,0.3,0.33,-0.030000000000000027
AT3,325e3,0.36,0.33,0.02999999999999997
TL14,325e3,0.34,0.33,0.010000000000000009
PR1,325e3,0.34,0.33,0.010000000000000009
PB1,325e3,0.18,0.33,-0.15000000000000002
PB6,325e3,0.36,0.33,0.02999999999999997
AL3,325e3,0.34,0.33,0.010000000000000009
AT2,325e3,0.34,0.33,0.010000000000000009
